Type,Value,Rating,Confidence,DateAdded,LastModified,Description,DNS,Observations,Date Last Observed,Tags
Address,104.27.132.79,4,95,08-19-2017,08-19-2017,"This indicator appears in a post from Talos.",,8,11-09-2017,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up"
Address,104.27.133.79,4,95,08-19-2017,08-19-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up"
Address,190.107.177.115,4,95,08-19-2017,08-19-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up"
Address,104.160.185.215,4,95,08-19-2017,08-19-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up"
Address,119.29.112.122,4,95,08-05-2017,08-05-2017,"This indicator appears in a post from Talos.",,0,,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up"
Address,178.175.138.162,4,95,08-05-2017,08-05-2017,"This indicator appears in a post from Talos.",,0,,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up"
Address,104.40.188.185,4,95,08-05-2017,08-05-2017,"This indicator appears in a post from Talos.",,0,,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up"
Address,95.110.231.145,4,95,08-05-2017,08-05-2017,"This indicator appears in a post from Talos.",,92,08-02-2017,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up"
Address,103.235.46.39,4,95,08-05-2017,08-05-2017,"This indicator appears in a post from Talos.",,91354,12-05-2017,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up"
Address,104.40.156.71,4,95,08-05-2017,08-05-2017,"This indicator appears in a post from Talos.",,0,,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up"
Address,37.220.90.208,4,95,08-05-2017,08-05-2017,"This indicator appears in a post from Talos.",,0,,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up"
Address,176.123.0.55,4,95,08-05-2017,08-05-2017,"This indicator appears in a post from Talos.",,589,07-07-2017,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up"
Address,92.53.96.122,4,95,07-22-2017,07-22-2017,"This indicator appears in a post from Talos.",,0,,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up";"threats"
Address,52.14.80.76,4,95,07-22-2017,07-22-2017,"This indicator appears in a post from Talos.",,0,,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up";"threats"
Address,185.165.29.36,4,95,06-23-2017,07-22-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"Pcap Analysis";"threats";"Graftor/Rukoma Malware Crimeware Traffic Analysis PCAP file download Sample"
Address,176.31.115.114,4,95,07-07-2017,07-07-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Talos";"Coverage";"Threat Round-up"
Address,13.65.245.138,4,95,04-15-2017,07-07-2017,"This indicator appears in a post from Talos.",,38040,11-17-2017,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up";"ThreatGrid"
Address,37.115.165.159,4,95,07-07-2017,07-07-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Talos";"Coverage";"Threat Round-up"
Address,77.123.218.185,4,95,07-07-2017,07-07-2017,"This indicator appears in a post from Talos.",,46,07-07-2017,"Malware";"Talos";"Coverage";"Threat Round-up"
Address,119.28.71.78,4,95,07-07-2017,07-07-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Talos";"Coverage";"Threat Round-up"
Address,109.86.76.58,4,95,07-07-2017,07-07-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Talos";"Coverage";"Threat Round-up"
Address,54.225.186.185,4,95,06-23-2017,06-23-2017,"This indicator appears in a post from Talos.",,141021,11-10-2017,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,107.21.249.100,4,95,06-23-2017,06-23-2017,"This indicator appears in a post from Talos.",,141257,11-10-2017,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,74.208.222.23,4,95,06-23-2017,06-23-2017,"This indicator appears in a post from Talos.",,0,,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,104.16.32.229,4,95,06-23-2017,06-23-2017,"This indicator appears in a post from Talos.",,68126,07-29-2017,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,54.197.40.33,4,95,06-23-2017,06-23-2017,"This indicator appears in a post from Talos.",,148161,12-05-2017,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,64.95.32.24,4,95,06-23-2017,06-23-2017,"This indicator appears in a post from Talos.",,339109,12-05-2017,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,162.144.12.241,4,95,06-23-2017,06-23-2017,"This indicator appears in a post from Talos.",,700,07-21-2017,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,217.174.148.65,4,95,06-23-2017,06-23-2017,"This indicator appears in a post from Talos.",,0,,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
